NAMESPACE,TAG,SKIP,TIMESTAMP,PASS,WORKFLOW iD,# of jobs,status,#event/job,#files,success fraction,total # of events,volume (GB),comments,DUNESW,NFILES,SIZE_GB,BATCH,FCL,CONFIG,CAMPAIGN,DATASET
usertests,TEST_hd_atmos_v0,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,10,12.413,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15220-fnal-w15220s1p1
usertests,TEST_hd_atmos_v3,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v3,500,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v4,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v4,500,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v5,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v5,500,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,500,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,0,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,5,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,10,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,15,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,20,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,25,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,30,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,35,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,40,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,45,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,50,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,55,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,60,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,65,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,70,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,75,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,80,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,85,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,90,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,95,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,100,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,105,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,110,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,115,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,120,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,125,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,130,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,135,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,140,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,145,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,150,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,155,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,160,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,165,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,170,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,175,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,180,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,185,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,190,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,195,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,200,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,205,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,210,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,215,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,220,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,225,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,230,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,235,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,240,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,245,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,250,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,255,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,260,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,265,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,270,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,275,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,280,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,285,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,290,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
usertests,TEST_hd_atmos_v6,295,,pass1,,,,,,0.0,0,0.0,?,v10_20_03d01,980,1213.689,5,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.fcl,standard_cafmaker_atmos_dune10kt_1x2x6_geov5.yaml,fdhd_he_2026a_caf,usertests:fardet-hd-reco-ritm2749296_15370-fnal-w15370s1p1
