TASK, NFILES, CHECK, NFILES_OUTPUT, QUERY
CENTRAL_prod,50034,50034,506," ""files where merge.tag=CENTRAL_prod and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodbackground_radiological_decay0_dune10kt_1x2x6_centralAPA__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
LATERAL_prod,49036,49036,981," ""files where merge.tag=LATERAL_prod and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodbackground_radiological_decay0_dune10kt_1x2x6_lateralAPA__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
FLAT-ES_prod_v2,5549,5549,2," ""files where merge.tag=FLAT-ES_prod_v2-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x2__prodmarley_nue_flat_es_dune10kt_1x2x2__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x2.fcl'"" "
FLAT-CC_prod,5026,5026,2," ""files where merge.tag=FLAT-CC_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x2__prodmarley_nue_flat_cc_dune10kt_1x2x2__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x2.fcl'"" "
CAVE-NEUTRON_prod,10256,10256,1," ""files where merge.tag=CAVE-NEUTRON_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodbackground_radiological_decay0_cavernneutrons_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
EMINUS_prod,6477,6477,2," ""files where merge.tag=EMINUS_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_eminus_1-500MeV_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
MUMINUS_prod,6362,6362,2," ""files where merge.tag=MUMINUS_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_muminus_1-500MeV_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
PROTON_prod,6470,6470,1," ""files where merge.tag=PROTON_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_p_1-500MeV_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
GAMMA_prod,6472,6472,2," ""files where merge.tag=GAMMA_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_gamma_1-500MeV_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
NU_prod,9862,9862,17," ""files where merge.tag=NU_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and core.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodgenie_nu_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.fcl'"" "
"NUE_prod, 9476, 9476, 24, ""files where merge.tag=NUE_prod-pass2_v2 and core.run_type='fardet-hd' and dune.output_status=confirmed and",,,,
Êcore.data_tier='root-tuple' and dune.campaign=trg_mc_2025a_tpg and merge.dataset='fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-pri,,,,
mitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodgenie_nue_dune10kt_1x2x6__out1__v1_official' and merge.cfg='triggerana_dune10kt_1x2x6.,,,,
"fcl'""Ê",,,,