TAG,FCL,#,QUERY
FLAT-ES,triggerana_dune10kt_1x2x2.fcl ,1, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x2__prodmarley_nue_flat_es_dune10kt_1x2x2__out1__v1_official
FLAT-CC,triggerana_dune10kt_1x2x2.fcl ,2, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x2__prodmarley_nue_flat_cc_dune10kt_1x2x2__out1__v1_official
CENTRAL,triggerana_dune10kt_1x2x6.fcl,3, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodbackground_radiological_decay0_dune10kt_1x2x6_centralAPA__out1__v1_official
LATERAL,triggerana_dune10kt_1x2x6.fcl,4, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodbackground_radiological_decay0_dune10kt_1x2x6_lateralAPA__out1__v1_official
CAVE-NEUTRON,triggerana_dune10kt_1x2x6.fcl,5, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodbackground_radiological_decay0_cavernneutrons_dune10kt_1x2x6__out1__v1_official
EMINUS,triggerana_dune10kt_1x2x6.fcl,6, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_eminus_1-500MeV_dune10kt_1x2x6__out1__v1_official
MUMINUS,triggerana_dune10kt_1x2x6.fcl,7, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_muminus_1-500MeV_dune10kt_1x2x6__out1__v1_official
PROTON,triggerana_dune10kt_1x2x6.fcl,8, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_p_1-500MeV_dune10kt_1x2x6__out1__v1_official
GAMMA,triggerana_dune10kt_1x2x6.fcl,9, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prod_gamma_1-500MeV_dune10kt_1x2x6__out1__v1_official
NU,triggerana_dune10kt_1x2x6.fcl,10, fardet-hd:fardet-hd__trg_mc_2025a_tpg__trigger-primitives__v10_12_01d01__tpg_dune10kt_1x2x6__prodgenie_nu_dune10kt_1x2x6__out1__v1_official